SKU_CLAVE,CODIGO_DE_BARRAS,MARCA,NOMBRE,DESCRIPCION_LARGA,IMAGEN,MAYOREO,UNIDAD,STOCK,PRECIO_UNITARIO,PRECIO_MAYOREO ,CATEGORIA,SUBCATEGORIA,CONTACTO_PROVEEDOR 
TN-PRLD200,NO TIENE,Bocado a la leña,Pollo rojo a la leña deshebrado,"Pollo condimentado con achiote, preparado con fuego de leña y deshebrado.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",200 gramos,,75,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-PED250,NO TIENE,Receta Maya ,Carne de pavo deshebrada," Carne de pavo salpimentada y cocinada mediante el método tradicional de “pib”, en el que se hornea bajo tierra.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",250 gramos ,,75,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-LCT250,NO TIENE,Aromas de tierra,Carne de cerdo cortada en cuadritos,"Carne de lomo cerdo marinada y cocinada a la leña, cortada en trozos.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",250 gramos ,,97,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-PP250,NO TIENE,Aromas de tierra,Carne de cerdo cortada en cuadritos marinada al pastor,Carne de pierna de cerdo adobada con especias y cocinada a la leña.,,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",250 gramos ,,95,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-CDR200,NO TIENE,Aromas de tierra,Carne deshebrada de res," Pulpa de res condimentada, cocinada a la leña y deshebrada.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",200 gramos,,95,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-CENT200,7.50E+12,Castizana ,Cochinita enterrada a la leña,"Carne de cerdo adobada en achiote, envuelta en hojas de plátano y cocida dentro de un horno de tierra.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",300 gramos ,,75,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-CHCER50,NO TIENE,Castizana ,Chicharrón de cerdo ,Cuero de cerdo. Contiene manteca vegetal y sal.,,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",50 gramos,,22,No aplica,Botanas y postres,Para picar un rato,No aplica
TN-HUEVR1K,NO TIENE,Tierra Nativa,Huevo de rancho,Huevo de rancho de gallinas de libre pastoreo.,,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",1 kilogramo,,70,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-HUEVREJA,NO TIENE,Tierra Nativa,Huevo de rancho,Huevo de rancho de gallinas de libre pastoreo.,,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",Reja (30 pzas),,130,No aplica,Alimentos y bebidas,Carnes y aves,No aplica
TN-TP10PZAS,NO TIENE,Maíz de comal,Tortillas para panucho hechas a mano,"  Tortillas de maíz hechas a mano, a las que se les hace un corte en la orilla para rellenarlas. ",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",190 gramos (10 piezas),,30,No aplica,Alimentos y bebidas,Derivados del maíz,No aplica
TN-TS10PZAS,NO TIENE,Maíz de comal,Tortillas para sope a base de maíz," Tortillas a base de maíz con forma gruesa y ancha, “pellizcadas” por las orillas formando bordes.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",450 gramos (10 piezas),,35,No aplica,Alimentos y bebidas,Derivados del maíz,No aplica
TN-TH10PZAS,NO TIENE,Maíz de comal,Tortillas para huarache a base de maíz,"Tortillas grandes hechas con masa de maíz, cuya forma simula las sandalias tradicionales mexicanas.",,"Para compras de mayoreo, la atención es personalizada. Escribir a ventas@tierra-nativa.com.mx",450 gramos (10 piezas),,40,No aplica,Alimentos y bebidas,Derivados del maíz,No aplica
